month,year,cpi
1,1975,52.1
1,1976,55.6
1,1977,58.5
1,1978,62.5
1,1979,68.3
1,1980,77.8
1,1981,87
1,1982,94.3
1,1983,97.8
1,1984,101.9
1,1985,105.5
1,1986,109.6
1,1987,111.2
1,1988,115.7
1,1989,121.1
1,1990,127.4
1,1991,134.6
1,1992,138.1
1,1993,142.6
1,1994,146.2
1,1995,150.3
1,1996,154.4
1,1997,159.1
1,1998,161.6
1,1999,164.3
1,2000,168.8
1,2001,175.1
1,2002,177.1
1,2003,181.7
1,2004,185.2
1,2005,190.7
1,2006,198.3
1,2007,202.416
1,2008,211.08
1,2009,211.143
1,2010,216.687
1,2011,220.223
1,2012,226.665
1,2013,230.28
1,2014,233.916
1,2015,233.707
1,2016,236.916
1,2017,242.839
1,2018,247.867
2,1975,52.5
2,1976,55.8
2,1977,59.1
2,1978,62.9
2,1979,69.1
2,1980,78.9
2,1981,87.9
2,1982,94.6
2,1983,97.9
2,1984,102.4
2,1985,106
2,1986,109.3
2,1987,111.6
2,1988,116
2,1989,121.6
2,1990,128
2,1991,134.8
2,1992,138.6
2,1993,143.1
2,1994,146.7
2,1995,150.9
2,1996,154.9
2,1997,159.6
2,1998,161.9
2,1999,164.5
2,2000,169.8
2,2001,175.8
2,2002,177.8
2,2003,183.1
2,2004,186.2
2,2005,191.8
2,2006,198.7
2,2007,203.499
2,2008,211.693
2,2009,212.193
2,2010,216.741
2,2011,221.309
2,2012,227.663
2,2013,232.166
2,2014,234.781
2,2015,234.722
2,2016,237.111
2,2017,243.603
2,2018,248.991
3,1975,52.7
3,1976,55.9
3,1977,59.5
3,1978,63.4
3,1979,69.8
3,1980,80.1
3,1981,88.5
3,1982,94.5
3,1983,97.9
3,1984,102.6
3,1985,106.4
3,1986,108.8
3,1987,112.1
3,1988,116.5
3,1989,122.3
3,1990,128.7
3,1991,135
3,1992,139.3
3,1993,143.6
3,1994,147.2
3,1995,151.4
3,1996,155.7
3,1997,160
3,1998,162.2
3,1999,165
3,2000,171.2
3,2001,176.2
3,2002,178.8
3,2003,184.2
3,2004,187.4
3,2005,193.3
3,2006,199.8
3,2007,205.352
3,2008,213.528
3,2009,212.709
3,2010,217.631
3,2011,223.467
3,2012,229.392
3,2013,232.773
3,2014,236.293
3,2015,236.119
3,2016,238.132
3,2017,243.801
3,2018,249.554
4,1975,52.9
4,1976,56.1
4,1977,60
4,1978,63.9
4,1979,70.6
4,1980,81
4,1981,89.1
4,1982,94.9
4,1983,98.6
4,1984,103.1
4,1985,106.9
4,1986,108.6
4,1987,112.7
4,1988,117.1
4,1989,123.1
4,1990,128.9
4,1991,135.2
4,1992,139.5
4,1993,144
4,1994,147.4
4,1995,151.9
4,1996,156.3
4,1997,160.2
4,1998,162.5
4,1999,166.2
4,2000,171.3
4,2001,176.9
4,2002,179.8
4,2003,183.8
4,2004,188
4,2005,194.6
4,2006,201.5
4,2007,206.686
4,2008,214.823
4,2009,213.24
4,2010,218.009
4,2011,224.906
4,2012,230.085
4,2013,232.531
4,2014,237.072
4,2015,236.599
4,2016,239.261
4,2017,244.524
4,2018,250.546
5,1975,53.2
5,1976,56.5
5,1977,60.3
5,1978,64.5
5,1979,71.5
5,1980,81.8
5,1981,89.8
5,1982,95.8
5,1983,99.2
5,1984,103.4
5,1985,107.3
5,1986,108.9
5,1987,113.1
5,1988,117.5
5,1989,123.8
5,1990,129.2
5,1991,135.6
5,1992,139.7
5,1993,144.2
5,1994,147.5
5,1995,152.2
5,1996,156.6
5,1997,160.1
5,1998,162.8
5,1999,166.2
5,2000,171.5
5,2001,177.7
5,2002,179.8
5,2003,183.5
5,2004,189.1
5,2005,194.4
5,2006,202.5
5,2007,207.949
5,2008,216.632
