"IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3",SUBDIV
"18","06","CSX","000176902","","","","","18","06","CSX","000176902","","","18","06","10","10","45","AM","01","1","0","0","0","","SOCIAL CIRCLE","0119.0","13","85","2","1","004","E","A743","2","2810","1","Y","SIDING","4","0000.0","3","SCBX","052382","025","N","","","000","","2","0","0","0","0","0","0","0","0","0","23","0","2","0","0","1","0","1","0","0","19660","588","H318","","0","0","0","0","H318","3","4","004","20248","","13C297","0","000000","0","1","0","1","0","03","45","03","45","1","3","","1L","","","","222","","2018","0","0","0","0","0","0","WALTON","297","00","00","","N","CWR","000-000-000","A74310 DERAILED 2 CARS IN SOCIAL CIRCLE SIDING ON GEORGIA SUBDIVISION (MP YYG119.0).  TWO NON-HAZMAT","CARS DERAILED WHICH BLOCKED THE MAIN TRACK. CONDUCTOR FAILED TO TAKE PRECAUTIONS WHEN KICKING CARS","ON A DESCENDING GRADE.","","","","","","","","","","","","","0","33.653934","-83.711534","2","5","","","","GEORGIA",
"18","01","CSX","000173957","","","","","18","01","CSX","000173957","","","18","01","10","9","0","PM","12","2","0","0","0","","WAYCROSS","0587.0","13","65","4","2","004","E","","1","0","6","N","B42","1","0000.0","2","GATX","221090","001","Y","","","000","","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","48762","0","H308","","0","0","0","0","H308","2","1","004","63016","","13C299","0","000000","0","0","0","0","0","","","","","3","3","","1L","","","","148","","2018","0","0","0","0","0","0","WARE","299","00","00","","N","OTH","000-000-000","HUMPING LOADED TANKS INTO CLEAR TRACK B42, WENT THROUGH F-4 SKATE RETARDER AND SIDE SWIPED Y20310 PU","LLING OUT OF B43 DERAILING 7 EMPTY ROCK HOPPERS.","","","","","","","","","","","","","","0","31.213524","-82.353588","2","5","","","","THOMASVILLE",
"18","07","NS","130081","","","","","18","07","NS","130081","","","18","07","04","5","6","AM","12","0","0","0","0","","ELKHART","CD422.","18","70","1","1","002","R","BE41","4","0","7","Y","LEAD","1","0000","2","GATX","007343","027","N","DMIX","191180","028","N","2","0","0","0","0","0","0","0","0","0","4","0","64","0","0","0","0","1","0","0","1982","22633","E39C","","0","0","0","0","E39C","2","1","002","24615","","18C039","0","000000","0","1","0","0","0","06","36","","","1","4","","1L","","","","639","","2018","0","0","0","0","0","0","ELKHART","039","","","","N","CWR","000-000-000","BE41 WAS HUMPING RT01 IN NORMAL AUTOMATIC MODE WHEN THE GATX 7343 FAILED TO SEPARATE AS NORMAL AFTER","THE HUMP FOREMAN PULLED THE CUT LEVER. THE DELAYED SEPARATION RESULTED IN THE GATX 7343 AND THE FOL","LOWING CAR DMIX 191180 TRAVELING PAST THE CUT LIGHHTS POSITIONED AS A TWO CAR CUT, CAUSING THE TYT S","YSTEM TO DECLARE A TWO CAR CUT AND CLASSIFY AS AN EXTRA HEAVY (DMIX 191180 WAS EXTRA HEAVY, GATX 734","3 WAS EMPTY). THE DECLARED TWO CAR EXTRA HEAVY CUT RESULTED IN THE MASTER RETARDER CLOSING FOR AN EX","TRA HEAVY AND STOPPING THE GATX 7343 UPON ENTRY INTO THE RETARDER. THE DMIX 191180 IMPACTED THE STOP","PED GATX 7343 AND DE-TRUCKED THE A END.","","","","","","","","","1","41.67736","-85.978495","2","5","K","","","DEARBORN",
"18","07","NS","130170","","","","","18","07","NS","130170","","","18","07","12","9","15","AM","01","0","0","0","0","","FRANKFORT","SP236.","18","84","2","1","009","R","L85L","4","918","1","Y","FE09","1","0000","2","NS","007242","001","N","","","000","","1","0","0","0","0","1","0","0","0","0","5","0","13","0","0","0","0","0","0","0","24000","100","T311","","0","0","0","0","T311","2","1","009","24100","","18C023","0","000000","0","1","0","1","0","05","15","05","15","1","4","","1L","","","","87","","2018","0","0","0","0","0","0","CLINTON","023","","","","N","OTH","000-000-000","L85L012 PULLING WEST INTO FE09 DERAILED LEAD LOCOMOTIVE, NS 7242, AXLES 1-4 BOTH SIDES.","","","","","","","","","","","","","","","0","40.282313","-86.543136","2","5","K","","","ILLINOIS",
"18","07","NS","130102","","","","","18","07","NS","130102","","","18","07","05","6","0","PM","12","0","0","0","0","","ELKHART","CD422.","18","80","3","1","002","E","BE21","4","0","7","Y","CLASS TRACK 47","1","0000","2","NATX","284140","001","N","","","000","","2","0","0","0","0","0","0","0","0","0","63","0","14","0","0","0","0","0","0","0","19800","0","E39C","","0","0","0","0","E39C","2","1","002","19950","","18C039","0","000000","0","1","0","0","0","03","33","","","3","4","","1L","","","","409","","2018","0","0","0","0","0","0","ELKHART","039","","","","N","CWR","000-000-000","TRAIN WAS COUPLING CARS IN CT47 FOR NORMAL PULLBACK OPERATIONS AND WENT TO COUPLE TO FOUR CARS IN TH","E CLEAR AT THE HUM END OF CT47 WHEN THE COUPLING FAILED TO MAKE, ALLOWING THE CARS TO ROLL IN THE FO","UL OF CT46. TRAIN YARD TECH BLOWBACK PROTECTION ACCTIVATED, THE NATX 284140 HUMPED TOWARDS CT46, RES","ULTING IN A RAKING COLLISION BETWEEN THE NATX 284140 (CT46) AND THE NS 210329 (CT47). NO DERAILMENT","OCCURRED.","","","","","","","","","","","1","41.67736","-85.978495","2","5","K","","","DEARBORN",
"18","07","NS","130102","","","","","18","07","NS","130102","","","18","07","05","6","0","PM","12","0","0","0","0","","ELKHART","CD422.","18","80","3","1","002","R","BE25","3","0","7","Y","CLASS TRACK 47","1","0000","2","NS","210329","001","N","","","000","","1","0","0","0","0","0","0","0","0","0","24","0","3","0","0","0","0","0","0","0","150","0","E39C","","0","0","0","0","E39C","2","1","002","19950","","18C039","0","000000","0","1","0","0","0","02","04","","","1","4","","1L","","","","409","","2018","0","0","0","0","0","0","ELKHART","039","","","","N","CWR","000-000-000","TRAIN WAS COUPLING CARS IN CT47 FOR NORMAL PULLBACK OPERATIONS AND WENT TO COUPLE TO FOUR CARS IN TH","E CLEAR AT THE HUM END OF CT47 WHEN THE COUPLING FAILED TO MAKE, ALLOWING THE CARS TO ROLL IN THE FO","UL OF CT46. TRAIN YARD TECH BLOWBACK PROTECTION ACCTIVATED, THE NATX 284140 HUMPED TOWARDS CT46, RES","ULTING IN A RAKING COLLISION BETWEEN THE NATX 284140 (CT46) AND THE NS 210329 (CT47). NO DERAILMENT","OCCURRED.","","","","","","","","","","","1","41.67736","-85.978495","2","5","K","","","DEARBORN",
"18","01","UP","0118KC028","","","","","18","01","UP","0118KC028","","","18","01","22","10","17","PM","01","3","3","0","0","","HERINGTON","171.0","20","26","4","1","006","R","LMF4","3","5145","7","Y","YARD 202","1","","2","TILX","192759","038","Y","","","000","","3","0","0","0","0","0","0","0","0","0","39","0","1","0","0","3","0","0","0","0","26431","26854","T319","","0","0","0","0","T319","2","1","006","53285","","20C041","0","000000","0","1","0","1","1","03","17","03","17","1","6","","1L","","","","404","","2018","0","0","0","0","0","0","DICKINSON","041","00","00","","N","OTH","000-000-000","LMF42-22, LEAD LOCOMOTIVE KCSM4673, HAD JUST PULLED A CUT OF 40 CARS OUT OF THE SOUTH END OF 201 TRA","CK AND STARTED TO MAKE A FACING POINT SHOVE THROUGH THE 202 AND 303 SWITCHES THAT WERE ALREADY LINED","FOR THEIR MOVE.  UPON MOVING THROUGH THE 202 SWITCH, 2 CARS CLEARED ALL SWITCHES BEFORE 4 LOADED AL","COHOL TANK CARS DERAILED BETWEEN THE 202 AND 303 SWITCHES.  DERAILMENT WAS DUE TO A GAPPED SWITCH PO","INT.","","","","","","","","","","","0","38.684749","-96.949666","2","5","","","","TOPEKA SUB",
"18","01","UP","0118KC034","","","","","18","01","XBGE","INDUSTRY","","","18","01","26","10","0","AM","01","0","0","0","0","","KANSAS CITY","0.13","20","60","2","1","005","R","YFX8","2","1237","7","Y","INDUSTRY 701","1","","2","SIRX","475773","024","N","","","000","","2","0","0","0","0","0","0","0","0","0","3","0","26","0","0","0","0","10","0","0","6934","8708","M405","","0","0","0","0","M405","2","1","005","15642","","20C209","0","000000","0","1","0","1","1","02","01","02","01","1","6","","1L","","","","432","","2018","0","0","0","0","0","0","WYANDOTTE","209","","","","N","OTH","000-000-000","TRAIN YFX82-26 WAS SPOTTING BARTLETT GRAIN ELEVATOR IN FAIRFAX YARD WITH 29 CARS.  THE CREW SHOVED S","OUTH INTO 701 TRACK A TOTAL OF 1061 FEET WHEN THE CONDUCTOR STOPPED THE MOVE, GOT OFF CARS AND NOTIC","ED 10 CARS DERAILED ON THE INDUSTRY'S TRACK.  AT THE TIME OF DERAILMENT THE TRAIN HAD MOVED 206 FEET",", TOP SPEED WAS 5MPH NOTCH 1 WITH 122 AMPS.  CAUSE OF DERAILMENT WAS DETERMINED TO BE M405 (INTERACT","ION OF LATERAL/VERTICAL FORCES).","","","","","","","","","","","0","39.116808","-94.613916","2","5","K","","","FAIRFAX IND LD",
"18","06","UP","0618KC030","","","","","18","06","UP","0618KC030","","","18","06","21","1","35","PM","01","0","0","0","0","","WICHITA","481.5","20","85","2","1","007","R","YWH4","2","4502","7","Y","YARD 010","1","","2","GBRX","083040","024","N","","","000","","2","0","0","0","0","0","0","0","0","0","38","0","25","0","0","0","0","1","0","0","9511","18135","H505","","0","0","0","0","H505","2","1","007","27646","","20C173","0","000000","0","3","0","0","0","05","35","","","1","6","","1L","","","","498","","2018","0","0","0","0","0","0","SEDGWICK","173","00","00","","N","OTH","000-000-000","YWH41R-21 WAS PULLING OUT THE SOUTH END OF TRACK 10 WHEN THEY NOTICED THE GBRX83040 DERAILED.  THE C","REW SHOVED INTO TRACK 10 MAKING A SAFETY STOP AND AFTER MAKING A JOINT NEAR THE CLEARANCE MARKER IN","TRACK 10, SHOVED 394 FEET INTO TRACK 10 BEFORE MAKING A STANDING CUT AT THE CLEARANCE MARKER.  THE C","REW INITIATED THE SHOVE BY GOING TO COUPLE THEN COMMANDED SPEED 10 CAUSING EXCESSIVE BUFF FORCES IN","THE SWITCH TURNOUT, LIFTING AND DERAILING THE GBRX83040, AN EMPTY SAND CAR.  NO INJURIES REPORTED.","","","","","","","","","","","3","37.735882","-97.316898","2","5","","","","WICHITA IND LD",
"18","04","MBTA","7096","","","","","18","04","MBTA","7096","","","18","04","26","6","45","AM","13","0","0","0","0","","WILMINGTON","17.5","25","53","4","4","070","E","302","2","0","2","Y","NHML TRACK 2","4","10.19","1","MBTA","001629","001","Y","","","000","","0","0","0","1","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","23612","0","M404","","0","0","0","0","M404","1","4","070","23612","","25C017","0","000000","0","1","1","1","","02","25","02","25","1","1","","3","","","","72","","2018","0","0","0","0","0","0","MIDDLESEX","017","","","","Y","CWR","000-000-000","TRAIN 302 STRUCK A PTC UTILITY POLE THAT HAD FALLEN AND WAS OUT TO FOUL.","","","","","","","","","","","","","","","0","42.584334","-71.167824","1","1","D","","","NHML",
